"","Drug1","Drug2","Source","Object","Precipitant"
"344","DB01021","DB00586","ONC-NonInteruptive","Trichlormethiazide","Diclofenac"
"345","DB00489","DB01175","ONC-NonInteruptive","Sotalol","Escitalopram"
"346","DB00612","DB01583","ONC-NonInteruptive","Bisoprolol","Liotrix"
"347","DB00001","DB01129","ONC-NonInteruptive","Lepirudin","Rabeprazole"
"348","DB00722","DB01399","ONC-NonInteruptive","Lisinopril","Salsalate"
"349","DB01129","DB01007","ONC-NonInteruptive","Rabeprazole","Tioconazole"
"350","DB01050","DB00866","ONC-NonInteruptive","Ibuprofen","Alprenolol"
"351","DB00606","DB00573","ONC-NonInteruptive","Cyclothiazide","Fenoprofen"
"352","DB01109","DB01095","ONC-NonInteruptive","Heparin","Fluvastatin"
"353","DB00232","DB01050","ONC-NonInteruptive","Methyclothiazide","Ibuprofen"
"354","DB00712","DB00598","ONC-NonInteruptive","Flurbiprofen","Labetalol"
"355","DB00939","DB01203","ONC-NonInteruptive","Meclofenamic acid","Nadolol"
"356","DB01285","DB00981","ONC-NonInteruptive","Corticotropin","Physostigmine"
"357","DB00814","DB00195","ONC-NonInteruptive","Meloxicam","Betaxolol"
"358","DB00586","DB08808","ONC-NonInteruptive","Diclofenac","Bupranolol"
"359","DB04861","DB00715","ONC-NonInteruptive","Nebivolol","Paroxetine"
"360","DB00584","DB00554","ONC-NonInteruptive","Enalapril","Piroxicam"
"361","DB01390","DB00635","ONC-NonInteruptive","Sodium bicarbonate","Prednisone"
"362","DB00839","DB00881","ONC-NonInteruptive","Tolazamide","Quinapril"
"363","DB01225","DB01098","ONC-NonInteruptive","Enoxaparin","Rosuvastatin"
"364","DB01109","DB00641","ONC-NonInteruptive","Heparin","Simvastatin"
"365","DB00866","DB06724","ONC-NonInteruptive","Alprenolol","Calcium carbonate"
"366","DB04861","DB00270","ONC-NonInteruptive","Nebivolol","Isradipine"
"367","DB00866","DB00401","ONC-NonInteruptive","Alprenolol","Nisoldipine"
"368","DB00784","DB00866","ONC-NonInteruptive","Mefenamic acid","Alprenolol"
"369","DB00991","DB00612","ONC-NonInteruptive","Oxaprozin","Bisoprolol"
"370","DB00500","DB00521","ONC-NonInteruptive","Tolmetin","Carteolol"
"371","DB01129","DB01127","ONC-NonInteruptive","Rabeprazole","Econazole"
"372","DB00790","DB00876","ONC-NonInteruptive","Perindopril","Eprosartan"
"373","DB01021","DB00814","ONC-NonInteruptive","Trichlormethiazide","Meloxicam"
"374","DB00521","DB00401","ONC-NonInteruptive","Carteolol","Nisoldipine"
"375","DB06695","DB00175","ONC-NonInteruptive","Dabigatran etexilate","Pravastatin"
"376","DB00461","DB00195","ONC-NonInteruptive","Nabumetone","Betaxolol"
"377","DB00635","DB01010","ONC-NonInteruptive","Prednisone","Edrophonium"
"378","DB01193","DB01023","ONC-NonInteruptive","Acebutolol","Felodipine"
"379","DB01580","DB01023","ONC-NonInteruptive","Oxprenolol","Felodipine"
"380","DB01021","DB00784","ONC-NonInteruptive","Trichlormethiazide","Mefenamic acid"
"381","DB00264","DB00715","ONC-NonInteruptive","Metoprolol","Paroxetine"
"382","DB00436","DB00554","ONC-NonInteruptive","Bendroflumethiazide","Piroxicam"
"383","DB01021","DB00533","ONC-NonInteruptive","Trichlormethiazide","Rofecoxib"
"384","DB00465","DB00866","ONC-NonInteruptive","Ketorolac","Alprenolol"
"385","DB00814","DB00335","ONC-NonInteruptive","Meloxicam","Atenolol"
"386","DB01021","DB01197","ONC-NonInteruptive","Trichlormethiazide","Captopril"
"387","DB00195","DB01175","ONC-NonInteruptive","Betaxolol","Escitalopram"
"388","DB00584","DB01029","ONC-NonInteruptive","Enalapril","Irbesartan"
"389","DB00521","DB00270","ONC-NonInteruptive","Carteolol","Isradipine"
"390","DB01324","DB00542","ONC-NonInteruptive","Polythiazide","Benazepril"
"391","DB00722","DB00482","ONC-NonInteruptive","Lisinopril","Celecoxib"
"392","DB00881","DB01050","ONC-NonInteruptive","Quinapril","Ibuprofen"
"393","DB00001","DB00448","ONC-NonInteruptive","Lepirudin","Lansoprazole"
"394","DB00881","DB00554","ONC-NonInteruptive","Quinapril","Piroxicam"
"395","DB00001","DB00641","ONC-NonInteruptive","Lepirudin","Simvastatin"
"396","DB06695","DB00443","ONC-NonInteruptive","Dabigatran etexilate","Betamethasone"
"397","DB00465","DB00195","ONC-NonInteruptive","Ketorolac","Betaxolol"
"398","DB00939","DB08807","ONC-NonInteruptive","Meclofenamic acid","Bopindolol"
"399","DB01324","DB01050","ONC-NonInteruptive","Polythiazide","Ibuprofen"
"400","DB01203","DB00270","ONC-NonInteruptive","Nadolol","Isradipine"
"401","DB00232","DB00790","ONC-NonInteruptive","Methyclothiazide","Perindopril"
"402","DB08808","DB00381","ONC-NonInteruptive","Bupranolol","Amlodipine"
"403","DB00580","DB08807","ONC-NonInteruptive","Valdecoxib","Bopindolol"
"404","DB00178","DB00876","ONC-NonInteruptive","Ramipril","Eprosartan"
"405","DB00232","DB06725","ONC-NonInteruptive","Methyclothiazide","Lornoxicam"
"406","DB00492","DB00678","ONC-NonInteruptive","Fosinopril","Losartan"
"407","DB01193","DB00401","ONC-NonInteruptive","Acebutolol","Nisoldipine"
"408","DB00605","DB08807","ONC-NonInteruptive","Sulindac","Bopindolol"
"409","DB01203","DB06724","ONC-NonInteruptive","Nadolol","Calcium carbonate"
"410","DB00712","DB01136","ONC-NonInteruptive","Flurbiprofen","Carvedilol"
"411","DB00338","DB00628","ONC-NonInteruptive","Omeprazole","Clorazepate"
"412","DB00492","DB00861","ONC-NonInteruptive","Fosinopril","Diflunisal"
"413","DB00328","DB00187","ONC-NonInteruptive","Indomethacin","Esmolol"
"414","DB00790","DB00605","ONC-NonInteruptive","Perindopril","Sulindac"
"415","DB00605","DB00373","ONC-NonInteruptive","Sulindac","Timolol"
"416","DB00492","DB00328","ONC-NonInteruptive","Fosinopril","Indomethacin"
"417","DB00584","DB00465","ONC-NonInteruptive","Enalapril","Ketorolac"
"418","DB08807","DB00451","ONC-NonInteruptive","Bopindolol","Levothyroxine"
"419","DB00960","DB00279","ONC-NonInteruptive","Pindolol","Liothyronine"
"420","DB06605","DB00175","ONC-NonInteruptive","Apixaban","Pravastatin"
"421","DB01225","DB00641","ONC-NonInteruptive","Enoxaparin","Simvastatin"
"422","DB00571","DB00215","ONC-NonInteruptive","Propranolol","Citalopram"
"423","DB00584","DB00876","ONC-NonInteruptive","Enalapril","Eprosartan"
"424","DB00335","DB01175","ONC-NonInteruptive","Atenolol","Escitalopram"
"425","DB00178","DB00465","ONC-NonInteruptive","Ramipril","Ketorolac"
"426","DB00542","DB00788","ONC-NonInteruptive","Benazepril","Naproxen"
"427","DB00580","DB04861","ONC-NonInteruptive","Valdecoxib","Nebivolol"
"428","DB00187","DB00622","ONC-NonInteruptive","Esmolol","Nicardipine"
"429","DB00521","DB00622","ONC-NonInteruptive","Carteolol","Nicardipine"
"430","DB00006","DB00213","ONC-NonInteruptive","Bivalirudin","Pantoprazole"
"431","DB00178","DB00500","ONC-NonInteruptive","Ramipril","Tolmetin"
"432","DB00554","DB00335","ONC-NonInteruptive","Piroxicam","Atenolol"
"433","DB00178","DB01029","ONC-NonInteruptive","Ramipril","Irbesartan"
"434","DB00741","DB01400","ONC-NonInteruptive","Hydrocortisone","Neostigmine"
"435","DB00999","DB00991","ONC-NonInteruptive","Hydrochlorothiazide","Oxaprozin"
"436","DB00482","DB01297","ONC-NonInteruptive","Celecoxib","Practolol"
"437","DB00001","DB00175","ONC-NonInteruptive","Lepirudin","Pravastatin"
"438","DB06228","DB01129","ONC-NonInteruptive","Rivaroxaban","Rabeprazole"
"439","DB01399","DB00373","ONC-NonInteruptive","Salsalate","Timolol"
"440","DB00232","DB00482","ONC-NonInteruptive","Methyclothiazide","Celecoxib"
"441","DB00338","DB01559","ONC-NonInteruptive","Omeprazole","Clotiazepam"
"442","DB00790","DB00586","ONC-NonInteruptive","Perindopril","Diclofenac"
"443","DB00232","DB00492","ONC-NonInteruptive","Methyclothiazide","Fosinopril"
"444","DB06725","DB00264","ONC-NonInteruptive","Lornoxicam","Metoprolol"
"445","DB06724","DB00860","ONC-NonInteruptive","Calcium carbonate","Prednisolone"
"446","DB01377","DB00635","ONC-NonInteruptive","Magnesium oxide","Prednisone"
"447","DB00492","DB00945","ONC-NonInteruptive","Fosinopril","Acetylsalicylic acid"
"448","DB00492","DB00573","ONC-NonInteruptive","Fosinopril","Fenoprofen"
"449","DB00373","DB00279","ONC-NonInteruptive","Timolol","Liothyronine"
"450","DB01021","DB00461","ONC-NonInteruptive","Trichlormethiazide","Nabumetone"
"451","DB00712","DB04861","ONC-NonInteruptive","Flurbiprofen","Nebivolol"
"452","DB00195","DB01115","ONC-NonInteruptive","Betaxolol","Nifedipine"
"453","DB00542","DB00275","ONC-NonInteruptive","Benazepril","Olmesartan"
"454","DB00620","DB00981","ONC-NonInteruptive","Triamcinolone","Physostigmine"
"455","DB06779","DB01098","ONC-NonInteruptive","Dalteparin","Rosuvastatin"
"456","DB00465","DB00335","ONC-NonInteruptive","Ketorolac","Atenolol"
"457","DB00584","DB00796","ONC-NonInteruptive","Enalapril","Candesartan"
"458","DB00881","DB00573","ONC-NonInteruptive","Quinapril","Fenoprofen"
"459","DB01193","DB00270","ONC-NonInteruptive","Acebutolol","Isradipine"
"460","DB00627","DB00227","ONC-NonInteruptive","Niacin","Lovastatin"
"461","DB04743","DB01203","ONC-NonInteruptive","Nimesulide","Nadolol"
"462","DB04861","DB00622","ONC-NonInteruptive","Nebivolol","Nicardipine"
"463","DB01390","DB00860","ONC-NonInteruptive","Sodium bicarbonate","Prednisolone"
"464","DB00335","DB01104","ONC-NonInteruptive","Atenolol","Sertraline"
"465","DB00338","DB00475","ONC-NonInteruptive","Omeprazole","Chlordiazepoxide"
"466","DB01297","DB01023","ONC-NonInteruptive","Practolol","Felodipine"
"467","DB01197","DB00328","ONC-NonInteruptive","Captopril","Indomethacin"
"468","DB01193","DB00393","ONC-NonInteruptive","Acebutolol","Nimodipine"
"469","DB00373","DB00393","ONC-NonInteruptive","Timolol","Nimodipine"
"470","DB00999","DB00790","ONC-NonInteruptive","Hydrochlorothiazide","Perindopril"
"471","DB01021","DB00790","ONC-NonInteruptive","Trichlormethiazide","Perindopril"
"472","DB00606","DB00533","ONC-NonInteruptive","Cyclothiazide","Rofecoxib"
"473","DB00461","DB00489","ONC-NonInteruptive","Nabumetone","Sotalol"
"474","DB00489","DB06724","ONC-NonInteruptive","Sotalol","Calcium carbonate"
"475","DB08808","DB00215","ONC-NonInteruptive","Bupranolol","Citalopram"
"476","DB00294","DB00588","ONC-NonInteruptive","Etonogestrel","Fluticasone Propionate"
"477","DB00991","DB04861","ONC-NonInteruptive","Oxaprozin","Nebivolol"
"478","DB00492","DB00966","ONC-NonInteruptive","Fosinopril","Telmisartan"
"479","DB00465","DB08807","ONC-NonInteruptive","Ketorolac","Bopindolol"
"480","DB01120","DB01197","ONC-NonInteruptive","Gliclazide","Captopril"
"481","DB00749","DB01136","ONC-NonInteruptive","Etodolac","Carvedilol"
"482","DB01225","DB00180","ONC-NonInteruptive","Enoxaparin","Flunisolide"
"483","DB00722","DB06803","ONC-NonInteruptive","Lisinopril","Niclosamide"
"484","DB06605","DB01076","ONC-NonInteruptive","Apixaban","Atorvastatin"
"485","DB06695","DB00588","ONC-NonInteruptive","Dabigatran etexilate","Fluticasone Propionate"
"486","DB01580","DB00451","ONC-NonInteruptive","Oxprenolol","Levothyroxine"
"487","DB00991","DB01203","ONC-NonInteruptive","Oxaprozin","Nadolol"
"488","DB00373","DB00401","ONC-NonInteruptive","Timolol","Nisoldipine"
"489","DB00542","DB00554","ONC-NonInteruptive","Benazepril","Piroxicam"
"490","DB00294","DB00620","ONC-NonInteruptive","Etonogestrel","Triamcinolone"
"491","DB00328","DB08808","ONC-NonInteruptive","Indomethacin","Bupranolol"
"492","DB00839","DB00492","ONC-NonInteruptive","Tolazamide","Fosinopril"
"493","DB00533","DB04861","ONC-NonInteruptive","Rofecoxib","Nebivolol"
"494","DB00187","DB00393","ONC-NonInteruptive","Esmolol","Nimodipine"
"495","DB06695","DB00163","ONC-NonInteruptive","Dabigatran etexilate","Vitamin E"
"496","DB00586","DB00335","ONC-NonInteruptive","Diclofenac","Atenolol"
"497","DB00278","DB01076","ONC-NonInteruptive","Argatroban","Atorvastatin"
"498","DB00790","DB00861","ONC-NonInteruptive","Perindopril","Diflunisal"
"499","DB00823","DB00959","ONC-NonInteruptive","Ethynodiol","Methylprednisolone"
"500","DB00482","DB00264","ONC-NonInteruptive","Celecoxib","Metoprolol"
"501","DB00814","DB01359","ONC-NonInteruptive","Meloxicam","Penbutolol"
"502","DB00864","DB00635","ONC-NonInteruptive","Tacrolimus","Prednisone"
"503","DB01021","DB00881","ONC-NonInteruptive","Trichlormethiazide","Quinapril"
"504","DB01289","DB00881","ONC-NonInteruptive","Glisoxepide","Quinapril"
"505","DB01009","DB00866","ONC-NonInteruptive","Ketoprofen","Alprenolol"
"506","DB01583","DB00258","ONC-NonInteruptive","Liotrix","Calcium Acetate"
"507","DB00338","DB01215","ONC-NonInteruptive","Omeprazole","Estazolam"
"508","DB06605","DB01095","ONC-NonInteruptive","Apixaban","Fluvastatin"
"509","DB00866","DB01115","ONC-NonInteruptive","Alprenolol","Nifedipine"
"510","DB00492","DB04743","ONC-NonInteruptive","Fosinopril","Nimesulide"
"511","DB00264","DB06724","ONC-NonInteruptive","Metoprolol","Calcium carbonate"
"512","DB00304","DB00588","ONC-NonInteruptive","Desogestrel","Fluticasone Propionate"
"513","DB08808","DB00279","ONC-NonInteruptive","Bupranolol","Liothyronine"
"514","DB00784","DB00264","ONC-NonInteruptive","Mefenamic acid","Metoprolol"
"515","DB00180","DB00545","ONC-NonInteruptive","Flunisolide","Pyridostigmine"
"516","DB00232","DB01399","ONC-NonInteruptive","Methyclothiazide","Salsalate"
"517","DB00784","DB00373","ONC-NonInteruptive","Mefenamic acid","Timolol"
"518","DB00788","DB00373","ONC-NonInteruptive","Naproxen","Timolol"
"519","DB00436","DB00519","ONC-NonInteruptive","Bendroflumethiazide","Trandolapril"
"520","DB00328","DB01193","ONC-NonInteruptive","Indomethacin","Acebutolol"
"521","DB01251","DB00542","ONC-NonInteruptive","Gliquidone","Benazepril"
"522","DB00187","DB01023","ONC-NonInteruptive","Esmolol","Felodipine"
"523","DB01359","DB00472","ONC-NonInteruptive","Penbutolol","Fluoxetine"
"524","DB00620","DB01400","ONC-NonInteruptive","Triamcinolone","Neostigmine"
"525","DB01109","DB00175","ONC-NonInteruptive","Heparin","Pravastatin"
"526","DB00533","DB00373","ONC-NonInteruptive","Rofecoxib","Timolol"
"527","DB00620","DB01122","ONC-NonInteruptive","Triamcinolone","Ambenonium"
"528","DB00436","DB00945","ONC-NonInteruptive","Bendroflumethiazide","Acetylsalicylic acid"
"529","DB00880","DB00542","ONC-NonInteruptive","Chlorothiazide","Benazepril"
"530","DB00533","DB00195","ONC-NonInteruptive","Rofecoxib","Betaxolol"
"531","DB00571","DB00472","ONC-NonInteruptive","Propranolol","Fluoxetine"
"532","DB00542","DB00712","ONC-NonInteruptive","Benazepril","Flurbiprofen"
"533","DB00774","DB01050","ONC-NonInteruptive","Hydroflumethiazide","Ibuprofen"
"534","DB00465","DB00598","ONC-NonInteruptive","Ketorolac","Labetalol"
"535","DB00533","DB01203","ONC-NonInteruptive","Rofecoxib","Nadolol"
"536","DB01193","DB01104","ONC-NonInteruptive","Acebutolol","Sertraline"
"537","DB00722","DB00605","ONC-NonInteruptive","Lisinopril","Sulindac"
"538","DB00399","DB00258","ONC-NonInteruptive","Zoledronate","Calcium Acetate"
"539","DB00367","DB00741","ONC-NonInteruptive","Levonorgestrel","Hydrocortisone"
"540","DB00790","DB01050","ONC-NonInteruptive","Perindopril","Ibuprofen"
"541","DB00790","DB01029","ONC-NonInteruptive","Perindopril","Irbesartan"
"542","DB00712","DB00264","ONC-NonInteruptive","Flurbiprofen","Metoprolol"
"543","DB00790","DB00788","ONC-NonInteruptive","Perindopril","Naproxen"
"544","DB00682","DB00635","ONC-NonInteruptive","Warfarin","Prednisone"
"545","DB08808","DB00472","ONC-NonInteruptive","Bupranolol","Fluoxetine"
"546","DB01109","DB00741","ONC-NonInteruptive","Heparin","Hydrocortisone"
"547","DB06695","DB00448","ONC-NonInteruptive","Dabigatran etexilate","Lansoprazole"
"548","DB00542","DB00461","ONC-NonInteruptive","Benazepril","Nabumetone"
"549","DB01021","DB01399","ONC-NonInteruptive","Trichlormethiazide","Salsalate"
"550","DB00823","DB00620","ONC-NonInteruptive","Ethynodiol","Triamcinolone"
"551","DB00586","DB00195","ONC-NonInteruptive","Diclofenac","Betaxolol"
"552","DB00282","DB06724","ONC-NonInteruptive","Pamidronate","Calcium carbonate"
"553","DB00519","DB00482","ONC-NonInteruptive","Trandolapril","Celecoxib"
"554","DB00584","DB00861","ONC-NonInteruptive","Enalapril","Diflunisal"
"555","DB00839","DB00584","ONC-NonInteruptive","Tolazamide","Enalapril"
"556","DB00584","DB00712","ONC-NonInteruptive","Enalapril","Flurbiprofen"
"557","DB01021","DB00722","ONC-NonInteruptive","Trichlormethiazide","Lisinopril"
"558","DB01050","DB00264","ONC-NonInteruptive","Ibuprofen","Metoprolol"
"559","DB00232","DB00461","ONC-NonInteruptive","Methyclothiazide","Nabumetone"
"560","DB00195","DB01054","ONC-NonInteruptive","Betaxolol","Nitrendipine"
"561","DB06228","DB00635","ONC-NonInteruptive","Rivaroxaban","Prednisone"
"562","DB00006","DB00620","ONC-NonInteruptive","Bivalirudin","Triamcinolone"
"563","DB00580","DB00335","ONC-NonInteruptive","Valdecoxib","Atenolol"
"564","DB00500","DB00187","ONC-NonInteruptive","Tolmetin","Esmolol"
"565","DB01067","DB00492","ONC-NonInteruptive","Glipizide","Fosinopril"
"566","DB00338","DB00683","ONC-NonInteruptive","Omeprazole","Midazolam"
"567","DB00814","DB04861","ONC-NonInteruptive","Meloxicam","Nebivolol"
"568","DB06725","DB04861","ONC-NonInteruptive","Lornoxicam","Nebivolol"
"569","DB01203","DB01115","ONC-NonInteruptive","Nadolol","Nifedipine"
"570","DB00881","DB04743","ONC-NonInteruptive","Quinapril","Nimesulide"
"571","DB01203","DB00715","ONC-NonInteruptive","Nadolol","Paroxetine"
"572","DB01016","DB00790","ONC-NonInteruptive","Glyburide","Perindopril"
"573","DB00533","DB00571","ONC-NonInteruptive","Rofecoxib","Propranolol"
"574","DB00606","DB00500","ONC-NonInteruptive","Cyclothiazide","Tolmetin"
"575","DB01050","DB00521","ONC-NonInteruptive","Ibuprofen","Carteolol"
"576","DB00554","DB00598","ONC-NonInteruptive","Piroxicam","Labetalol"
"577","DB00542","DB06709","ONC-NonInteruptive","Benazepril","Methacholine"
"578","DB00598","DB00401","ONC-NonInteruptive","Labetalol","Nisoldipine"
"579","DB00278","DB00338","ONC-NonInteruptive","Argatroban","Omeprazole"
"580","DB00542","DB00482","ONC-NonInteruptive","Benazepril","Celecoxib"
"581","DB00232","DB00861","ONC-NonInteruptive","Methyclothiazide","Diflunisal"
"582","DB01120","DB00492","ONC-NonInteruptive","Gliclazide","Fosinopril"
"583","DB06779","DB00741","ONC-NonInteruptive","Dalteparin","Hydrocortisone"
"584","DB00880","DB00722","ONC-NonInteruptive","Chlorothiazide","Lisinopril"
"585","DB01197","DB06725","ONC-NonInteruptive","Captopril","Lornoxicam"
"586","DB00006","DB00227","ONC-NonInteruptive","Bivalirudin","Lovastatin"
"587","DB00880","DB00554","ONC-NonInteruptive","Chlorothiazide","Piroxicam"
"588","DB01251","DB01197","ONC-NonInteruptive","Gliquidone","Captopril"
"589","DB00492","DB06725","ONC-NonInteruptive","Fosinopril","Lornoxicam"
"590","DB01225","DB00338","ONC-NonInteruptive","Enoxaparin","Omeprazole"
"591","DB00436","DB00991","ONC-NonInteruptive","Bendroflumethiazide","Oxaprozin"
"592","DB00861","DB01580","ONC-NonInteruptive","Diflunisal","Oxprenolol"
"593","DB01590","DB00635","ONC-NonInteruptive","Everolimus","Prednisone"
"594","DB00606","DB00881","ONC-NonInteruptive","Cyclothiazide","Quinapril"
"595","DB00195","DB01104","ONC-NonInteruptive","Betaxolol","Sertraline"
"596","DB00749","DB00373","ONC-NonInteruptive","Etodolac","Timolol"
"597","DB00338","DB04794","ONC-NonInteruptive","Omeprazole","Bifonazole"
"598","DB01359","DB00176","ONC-NonInteruptive","Penbutolol","Fluvoxamine"
"599","DB00195","DB00279","ONC-NonInteruptive","Betaxolol","Liothyronine"
"600","DB00482","DB04861","ONC-NonInteruptive","Celecoxib","Nebivolol"
"601","DB01197","DB04743","ONC-NonInteruptive","Captopril","Nimesulide"
"602","DB00001","DB01234","ONC-NonInteruptive","Lepirudin","Dexamethasone"
"603","DB00335","DB00451","ONC-NonInteruptive","Atenolol","Levothyroxine"
"604","DB00465","DB01203","ONC-NonInteruptive","Ketorolac","Nadolol"
"605","DB01021","DB00788","ONC-NonInteruptive","Trichlormethiazide","Naproxen"
"606","DB06779","DB00338","ONC-NonInteruptive","Dalteparin","Omeprazole"
"607","DB00213","DB01127","ONC-NonInteruptive","Pantoprazole","Econazole"
"608","DB01203","DB01175","ONC-NonInteruptive","Nadolol","Escitalopram"
"609","DB00975","DB00227","ONC-NonInteruptive","Dipyridamole","Lovastatin"
"610","DB01225","DB06693","ONC-NonInteruptive","Enoxaparin","Mevastatin"
"611","DB00533","DB01580","ONC-NonInteruptive","Rofecoxib","Oxprenolol"
"612","DB00500","DB00960","ONC-NonInteruptive","Tolmetin","Pindolol"
"613","DB00712","DB01297","ONC-NonInteruptive","Flurbiprofen","Practolol"
"614","DB00465","DB00571","ONC-NonInteruptive","Ketorolac","Propranolol"
"615","DB00492","DB01399","ONC-NonInteruptive","Fosinopril","Salsalate"
"616","DB00178","DB08822","ONC-NonInteruptive","Ramipril","Azilsartan medoxomil"
"617","DB00814","DB00521","ONC-NonInteruptive","Meloxicam","Carteolol"
"618","DB00178","DB00586","ONC-NonInteruptive","Ramipril","Diclofenac"
"619","DB00580","DB01203","ONC-NonInteruptive","Valdecoxib","Nadolol"
"620","DB00877","DB00860","ONC-NonInteruptive","Sirolimus","Prednisolone"
"621","DB00712","DB00335","ONC-NonInteruptive","Flurbiprofen","Atenolol"
"622","DB00861","DB00612","ONC-NonInteruptive","Diflunisal","Bisoprolol"
"623","DB00500","DB08807","ONC-NonInteruptive","Tolmetin","Bopindolol"
"624","DB00586","DB00521","ONC-NonInteruptive","Diclofenac","Carteolol"
"625","DB04743","DB00187","ONC-NonInteruptive","Nimesulide","Esmolol"
"626","DB00373","DB01023","ONC-NonInteruptive","Timolol","Felodipine"
"627","DB01225","DB00213","ONC-NonInteruptive","Enoxaparin","Pantoprazole"
"628","DB00866","DB00715","ONC-NonInteruptive","Alprenolol","Paroxetine"
"629","DB00533","DB00489","ONC-NonInteruptive","Rofecoxib","Sotalol"
"630","DB00542","DB00966","ONC-NonInteruptive","Benazepril","Telmisartan"
"631","DB00304","DB00741","ONC-NonInteruptive","Desogestrel","Hydrocortisone"
"632","DB00880","DB00784","ONC-NonInteruptive","Chlorothiazide","Mefenamic acid"
"633","DB00232","DB00784","ONC-NonInteruptive","Methyclothiazide","Mefenamic acid"
"634","DB00939","DB00264","ONC-NonInteruptive","Meclofenamic acid","Metoprolol"
"635","DB00373","DB00622","ONC-NonInteruptive","Timolol","Nicardipine"
"636","DB01136","DB00401","ONC-NonInteruptive","Carvedilol","Nisoldipine"
"637","DB00722","DB00796","ONC-NonInteruptive","Lisinopril","Candesartan"
"638","DB00588","DB01010","ONC-NonInteruptive","Fluticasone Propionate","Edrophonium"
"639","DB00571","DB01175","ONC-NonInteruptive","Propranolol","Escitalopram"
"640","DB00573","DB04861","ONC-NonInteruptive","Fenoprofen","Nebivolol"
"641","DB00635","DB01400","ONC-NonInteruptive","Prednisone","Neostigmine"
"642","DB00195","DB00715","ONC-NonInteruptive","Betaxolol","Paroxetine"
"643","DB00839","DB00519","ONC-NonInteruptive","Tolazamide","Trandolapril"
"644","DB00521","DB00381","ONC-NonInteruptive","Carteolol","Amlodipine"
"645","DB00712","DB08808","ONC-NonInteruptive","Flurbiprofen","Bupranolol"
"646","DB01324","DB00712","ONC-NonInteruptive","Polythiazide","Flurbiprofen"
"647","DB01136","DB00451","ONC-NonInteruptive","Carvedilol","Levothyroxine"
"648","DB00975","DB00959","ONC-NonInteruptive","Dipyridamole","Methylprednisolone"
"649","DB00790","DB00461","ONC-NonInteruptive","Perindopril","Nabumetone"
"650","DB01193","DB00622","ONC-NonInteruptive","Acebutolol","Nicardipine"
"651","DB01359","DB00401","ONC-NonInteruptive","Penbutolol","Nisoldipine"
"652","DB00939","DB01580","ONC-NonInteruptive","Meclofenamic acid","Oxprenolol"
"653","DB06779","DB00860","ONC-NonInteruptive","Dalteparin","Prednisolone"
"654","DB00006","DB01098","ONC-NonInteruptive","Bivalirudin","Rosuvastatin"
"655","DB06779","DB00163","ONC-NonInteruptive","Dalteparin","Vitamin E"
"656","DB00939","DB00866","ONC-NonInteruptive","Meclofenamic acid","Alprenolol"
"657","DB00278","DB00443","ONC-NonInteruptive","Argatroban","Betamethasone"
"658","DB00975","DB00741","ONC-NonInteruptive","Dipyridamole","Hydrocortisone"
"659","DB06228","DB00741","ONC-NonInteruptive","Rivaroxaban","Hydrocortisone"
"660","DB00606","DB00328","ONC-NonInteruptive","Cyclothiazide","Indomethacin"
"661","DB00784","DB00598","ONC-NonInteruptive","Mefenamic acid","Labetalol"
"662","DB01580","DB01583","ONC-NonInteruptive","Oxprenolol","Liotrix"
"663","DB08807","DB01054","ONC-NonInteruptive","Bopindolol","Nitrendipine"
"664","DB00790","DB00533","ONC-NonInteruptive","Perindopril","Rofecoxib"
"665","DB00749","DB00335","ONC-NonInteruptive","Etodolac","Atenolol"
"666","DB00542","DB08822","ONC-NonInteruptive","Benazepril","Azilsartan medoxomil"
"667","DB00213","DB00639","ONC-NonInteruptive","Pantoprazole","Butoconazole"
"668","DB00571","DB01023","ONC-NonInteruptive","Propranolol","Felodipine"
"669","DB01297","DB00451","ONC-NonInteruptive","Practolol","Levothyroxine"
"670","DB00367","DB00959","ONC-NonInteruptive","Levonorgestrel","Methylprednisolone"
"671","DB00605","DB01580","ONC-NonInteruptive","Sulindac","Oxprenolol"
"672","DB01197","DB00533","ONC-NonInteruptive","Captopril","Rofecoxib"
"673","DB00584","DB00966","ONC-NonInteruptive","Enalapril","Telmisartan"
"674","DB00006","DB00316","ONC-NonInteruptive","Bivalirudin","Acetaminophen"
"675","DB00195","DB00258","ONC-NonInteruptive","Betaxolol","Calcium Acetate"
"676","DB08807","DB01175","ONC-NonInteruptive","Bopindolol","Escitalopram"
"677","DB00866","DB00279","ONC-NonInteruptive","Alprenolol","Liothyronine"
"678","DB00492","DB00784","ONC-NonInteruptive","Fosinopril","Mefenamic acid"
"679","DB01580","DB00622","ONC-NonInteruptive","Oxprenolol","Nicardipine"
"680","DB00328","DB00489","ONC-NonInteruptive","Indomethacin","Sotalol"
"681","DB01021","DB04743","ONC-NonInteruptive","Trichlormethiazide","Nimesulide"
"682","DB06725","DB01580","ONC-NonInteruptive","Lornoxicam","Oxprenolol"
"683","DB01289","DB00790","ONC-NonInteruptive","Glisoxepide","Perindopril"
"684","DB00839","DB00790","ONC-NonInteruptive","Tolazamide","Perindopril"
"685","DB00991","DB00960","ONC-NonInteruptive","Oxaprozin","Pindolol"
"686","DB00328","DB01297","ONC-NonInteruptive","Indomethacin","Practolol"
"687","DB00774","DB01197","ONC-NonInteruptive","Hydroflumethiazide","Captopril"
"688","DB00717","DB01234","ONC-NonInteruptive","Norethindrone","Dexamethasone"
